969, 444, 1
970, 448, 1
971, 452, 1
972, 456, 1
973, 460, 1
974, 464, 1
975, 468, 1
976, 472, 1
977, 476, 1
978, 480, 1
979, 484, 1
980, 43, 2
981, 87, 2
982, 131, 2
983, 175, 2
984, 219, 2
985, 263, 2
986, 307, 2
987, 351, 2
988, 395, 2
989, 439, 2
990, 483, 2
991, 1, 3
992, 45, 3
993, 89, 3
994, 133, 3
995, 177, 3
996, 221, 3
997, 265, 3
998, 309, 3
999, 353, 3
1000, 397, 3
1001, 441, 3
1002, 2, 4
1003, 6, 4
1004, 10, 4
1005, 14, 4
1006, 18, 4
1007, 22, 4
1008, 26, 4
1009, 30, 4
1010, 34, 4
1011, 38, 4
1012, 42, 4
